level,level1,level4,level7
curtail,w/o,w/o,w/o
bus,,,
LV3.202 Bus 4,0.0,-7.339653589883824,-21.887523328092925
LV4.232 Bus 16,0.0,-26.477549175989225,-78.32644122308375
LV3.205 Bus 64,0.0,-8.36721963668515,-20.838919744066743
LV3.202 Bus 96,0.0,-11.477124393082704,-41.14065197168361
LV3.202 Bus 12,0.0,-9.477686543414734,-26.9154277792411
LV2.217 Bus 102,0.0,-10.295874517659286,-24.380944326152303
LV4.232 Bus 41,0.0,-17.303278346421394,-44.54684796426568
LV4.202 Bus 21,0.0,-14.305633649239098,-43.81090360225653
LV3.202 Bus 72,0.0,-8.374412194344131,-17.883566708206786
LV6.202 Bus 24,0.0,-32.11912326121319,-79.1865407105388
LV3.203 Bus 43,0.0,-6.929313835648145,-22.741874434985334
LV2.217 Bus 59,0.0,-14.514347623526419,-44.737117262294305
LV2.217 Bus 28,0.0,-16.432973214911044,-52.025296073507434
LV1.202 Bus 14,0.0,-23.10925089203147,-69.07091471285025
LV2.203 Bus 52,0.0,-31.602948576506606,-102.34388036523387
LV5.217 Bus 38,0.0,-7.749056350204228,-8.71321629191516
LV4.202 Bus 43,0.0,-10.627546945685253,-23.19936042888071
LV2.203 Bus 93,0.0,-12.972112940420857,-42.48742525431203
LV3.203 Bus 59,0.0,-19.665384297358287,-60.973279033799145
LV3.204 Bus 15,0.0,-12.053755544854766,-22.77374273123928
LV4.219 Bus 34,0.0,-15.661251511060073,-35.23501007948016
LV3.203 Bus 85,0.0,-25.196268127151598,-63.92473031705549
LV3.202 Bus 102,0.0,-16.40646466693147,-55.24516267432796
LV3.205 Bus 76,0.0,-22.191315447498255,-68.91997100140884
LV2.217 Bus 89,0.0,-14.20928336537304,-34.50233398545902
LV3.205 Bus 33,0.0,-18.27945679972663,-61.55272073136803
LV5.217 Bus 29,0.0,-11.018539353040296,-19.885723119779414
LV3.203 Bus 123,0.0,-10.051418478145479,-27.425403776082476
LV3.204 Bus 55,0.0,-12.616128081411262,-26.65373656678571
LV3.205 Bus 132,0.0,-7.1370008162659815,-16.020521851884155
LV4.232 Bus 44,0.0,-19.6679348376083,-64.06511974058503
LV3.203 Bus 58,0.0,-21.046819830290133,-56.37406525096503
LV3.205 Bus 26,0.0,-7.0111363362266275,-4.487103412903707
LV3.204 Bus 77,0.0,-12.298950393093037,-43.841016650647134
LV3.202 Bus 91,0.0,-20.910511532160626,-61.47818815438609
LV5.217 Bus 34,0.0,-9.243953536245499,-16.315057554131727
LV4.232 Bus 3,0.0,-12.552648058657269,-42.59610245545264
LV3.204 Bus 51,0.0,-7.794560073923321,-10.450692389967571
LV4.232 Bus 20,0.0,-12.37116458315245,-39.04295172512889
LV5.217 Bus 5,0.0,-10.626207545104307,-21.649628796090383
LV3.205 Bus 89,0.0,-10.88584157354694,-34.9296348823616
LV3.205 Bus 28,0.0,-6.938618923014815,-15.686134167697219
LV3.204 Bus 73,0.0,-8.685032398665726,-30.318756237644266
LV5.217 Bus 31,0.0,-22.256849528741668,-59.05797688231246
LV3.202 Bus 31,0.0,-17.342945748727516,-55.156059986097716
LV6.202 Bus 50,0.0,-28.39801183933514,-73.33363992306658
LV3.202 Bus 52,0.0,-13.051451612582696,-20.996895435648185
LV3.203 Bus 13,0.0,-4.669001732362972,-3.0609782822320994
LV3.205 Bus 124,0.0,-15.106699543066725,-36.917845712251165
LV5.217 Bus 68,0.0,-7.862304725865556,-19.113315342099895
LV3.202 Bus 130,0.0,-13.60724808945929,-46.44787229586677
LV3.204 Bus 21,0.0,-7.363554151051176,-5.308305565460159
LV2.217 Bus 85,0.0,-36.353923766733715,-122.32331252908807
LV3.204 Bus 26,0.0,-8.975369220746188,-27.886146814659583
LV4.219 Bus 16,0.0,-18.414622840761922,-48.59017001576535
LV3.204 Bus 78,0.0,-9.149971938565045,-22.812606938679664
LV6.202 Bus 15,0.0,-26.792179141299584,-83.43019511797775
LV3.203 Bus 120,0.0,-9.216338722292903,-31.10530043555866
LV3.204 Bus 18,0.0,-7.828695327016021,-25.87409388451249
LV6.202 Bus 57,0.0,-20.89928574673104,-48.561765349089455
LV6.202 Bus 7,0.0,-38.300403381201704,-120.96212513713726
LV2.217 Bus 4,0.0,-17.137944591860105,-46.365490899322594
LV5.217 Bus 75,0.0,-8.582281077882612,-28.485312375086323
LV5.217 Bus 52,0.0,-14.406832200291547,-37.82202006656098
LV3.203 Bus 109,0.0,-5.627828358782153,-20.41304313314845
LV3.203 Bus 53,0.0,-21.37444246934433,-64.25593019723374
LV6.202 Bus 23,0.0,-18.842959976850125,-45.59324996367286
LV2.217 Bus 97,0.0,-37.89150171945448,-110.96833922089309
LV6.202 Bus 38,0.0,-37.40497039053662,-89.67720603437465
LV2.203 Bus 27,0.0,-16.173854902141557,-38.474504575046694
