level,level1,level4,level4,level5,level6,level7,level7,level8,level9
curtail,w/o,w/o,w,w,w,w/o,w,w,w
bus,,,,,,,,,
LV3.205 Bus 116,0.0,-23.041000757817983,-23.041000757817983,-23.04100623108002,-17.140666617292936,-61.48090994797258,-60.80710431440548,-61.286249539722576,-61.47810703101504
LV2.217 Bus 91,0.0,-34.359174347197495,-34.30845714219731,-34.35289550205516,-28.321939883547202,-88.22300873884751,-86.18077663130225,-87.60600920607385,-88.22187505112743
LV3.205 Bus 50,0.0,-12.1533158920206,-12.153430235627184,-12.153430235626729,-11.431875000030686,-42.32008084240624,-42.06401369307696,-42.25544438590623,-42.31686782500515
LV4.202 Bus 25,0.0,-12.851477876349918,-12.851477876349918,-12.85147787634969,-8.209411495256518,-33.73531448636186,-33.73531448636186,-33.73531448636186,-33.73454046298593
LV3.203 Bus 85,0.0,-25.196268127152052,-25.174637919558336,-25.191282968221913,-15.752624162715165,-63.92473031705549,-62.3329390310696,-63.536004412375405,-63.92473031705549
LV4.219 Bus 21,0.0,-11.752610474969742,-11.752610474969742,-11.75261594823246,-5.395037110431758,-25.109536678722407,-25.109536678722407,-25.109536678722407,-25.106733761764872
LV5.217 Bus 31,0.0,-22.256849528741668,-22.256849528741895,-22.256849528740986,-17.23796208597969,-59.05797688231269,-59.05797688231246,-59.05797688231269,-59.056499655947846
LV2.203 Bus 25,0.0,-7.860519213666862,-7.860549296289264,-7.8604799507635335,-7.860519213666976,-25.151548926661917,-24.24873053666181,-24.986286485773576,-24.77893780096406
LV3.205 Bus 75,0.0,-11.229339600859248,-11.229339600859248,-11.22933960085902,-6.049086201611999,-28.436274463728296,-28.16289312656113,-28.353644206310946,-28.434797237363455
LV3.204 Bus 55,0.0,-12.616128081411034,-12.61612808141058,-12.619751443968653,-2.981248604058692,-26.653736566785483,-25.703560972432115,-26.32064695593226,-26.652311251027186
LV6.202 Bus 42,0.0,-14.85401649962455,-14.854132372130607,-14.85450862756852,-14.854132372130607,-49.177845111771376,-49.177845111771376,-49.1778451117716,-49.177845111771376
LV4.232 Bus 43,0.0,-7.416663553995477,-7.4166635539952495,-7.4166635539952495,-2.4439683743933074,-9.749055338643984,-9.749055338643984,-9.749055338643984,-9.747824605999767
LV3.202 Bus 131,0.0,-9.094431774629356,-9.094431774629356,-9.094435996342327,-5.640542692577583,-16.168644700803725,-16.168644700803725,-16.168644700803725,-16.16757166455318
LV3.203 Bus 135,0.0,-6.000594203324567,-6.000594203324454,-6.000309089898451,-1.8541870799015214,-5.8594986574570385,-5.7682541275172525,-5.845413299196025,-5.693223164004735
LV2.217 Bus 4,0.0,-17.13794459186056,-17.137944591860105,-17.141948141462763,-16.9416521829221,-46.365490899322594,-45.23370012640498,-45.99474411443998,-45.70394941111272
LV3.204 Bus 31,0.0,-22.91582241253991,-22.915876105059397,-22.918226147815858,-22.824038407176886,-63.135357181930885,-61.12353509573313,-62.3755403014502,-63.135357181930885
LV4.202 Bus 4,0.0,-21.96784435805921,-21.967850506307514,-21.967850506307514,-15.078173842711522,-62.29891133407568,-62.298905396831515,-62.298911334075456,-62.2984636862202
LV3.203 Bus 71,0.0,-10.444309029760461,-10.44430902976012,-10.44412341441307,-9.865631058997224,-29.909952744312932,-29.51243203473814,-29.809022953812928,-29.609275734466564
LV3.203 Bus 38,0.0,-6.386949405993732,-6.386949405993619,-6.3869565213152555,-5.141327891191736,-8.404714228965759,-8.250581850409503,-8.345299236179585,-8.219778304410056
LV3.203 Bus 98,0.0,-9.59664521132413,-9.59664521132413,-9.596676265039605,-7.330560692907966,-18.548993245337215,-18.027498967742076,-18.34094759761797,-18.547610560384555
LV4.202 Bus 5,0.0,-10.194065671846602,-10.194065671846602,-10.197707530267962,-6.716600576644396,-8.891881622905657,-8.891881622905657,-8.891881622905657,-8.891180766705702
LV3.202 Bus 113,0.0,-12.65285017771339,-12.65285017771339,-12.656225049825252,-9.908196901111069,-33.28492999195191,-33.284924054707744,-33.28492999195191,-33.284654372480645
LV3.204 Bus 64,0.0,-19.437372231555855,-19.437372231555628,-19.43764722973401,-13.42695980543067,-46.77284245747069,-44.734111913944616,-46.056910580299245,-46.772048378652926
LV3.205 Bus 110,0.0,-14.4831454214127,-14.4831454214127,-14.483077032224173,-14.441619833796494,-48.04889610951386,-47.66388975701375,-47.94000334476391,-48.04889610951386
LV2.217 Bus 97,0.0,-37.89150171945448,-37.87457358690381,-37.88698050776247,-37.66969648534496,-110.96833922089309,-108.8414165117506,-110.37240220867307,-110.96827725749881
LV3.203 Bus 132,0.0,-24.096919002668756,-24.096949085291953,-24.096879739765427,-23.54099261843089,-76.27705575090545,-74.52280675278621,-75.85939662401529,-76.2770256682827
LV3.205 Bus 113,0.0,-16.08705829886503,-16.087058298864804,-16.086990181317105,-15.531980806638785,-51.79521144871569,-51.17961392258849,-51.61260398521563,-51.79521144871569
LV2.217 Bus 23,0.0,-20.406835141807278,-20.406163882416877,-20.406835141807278,-12.183789882169549,-35.92732918335241,-34.61917388255006,-35.59179489692815,-35.90151365517977
LV5.217 Bus 52,0.0,-14.406832200291774,-14.406832200291774,-14.406832200291774,-8.170194424682677,-37.82202006656121,-37.82204704920832,-37.822020066561436,-37.82005561850019
LV3.205 Bus 102,0.0,-11.124824458247076,-11.124824458246849,-11.124824458246621,-4.602441105264006,-19.917097638384348,-19.49944380966508,-19.78752820241516,-19.91689546380394
LV3.204 Bus 43,0.0,-8.744135719056885,-8.74413571905643,-8.74413571905643,-2.237287002199082,-23.691348532036272,-22.93754441094552,-23.432328520786086,-22.843210735258253
LV3.205 Bus 136,0.0,-10.544952751574783,-10.544952751574556,-10.546012359938459,-8.539502572296442,-18.021812953886183,-17.878847246386158,-17.979079339886084,-17.93653029264533
LV6.202 Bus 21,0.0,-6.277639596689028,-6.277570483431987,-6.276317303659084,-6.277639596688914,-19.967755177503932,-19.96775517750382,-19.96775517750382,-19.96775517750382
LV3.202 Bus 96,0.0,-11.477124393082704,-11.477124393082704,-11.47723300228131,-11.449009276699371,-41.14065197168361,-41.14079285318007,-41.14075693964219,-41.14079285318007
LV3.202 Bus 78,0.0,-36.60746964904274,-36.60747579729059,-36.60747579729059,-29.91171248822775,-107.05331994388462,-107.05331994388507,-107.0533140066409,-107.05260261380272
LV3.204 Bus 65,0.0,-14.591301486684188,-14.574395751684278,-14.5861534843973,-10.570763520036508,-33.75288683003782,-32.29019396614467,-33.20691837821664,-33.751456309763626
LV2.203 Bus 74,0.0,-15.101201048464418,-15.101201048464418,-15.10151675506836,-13.451130416143542,-45.79167170537926,-44.07654408271583,-45.45154670862917,-45.789619183512286
LV4.219 Bus 5,0.0,-18.627964113294183,-18.627964113294183,-18.627783537805044,-18.62796411329373,-56.44561837965057,-56.445608633934626,-56.445618379650114,-56.445618379650114
LV3.204 Bus 26,0.0,-8.975369220746074,-8.975369220745392,-8.975369220745506,-6.50032625230358,-27.886146814659355,-27.078850108771917,-27.60954904565915,-27.70560569041777
LV2.217 Bus 44,0.0,-28.07635729965523,-28.07635729965523,-28.075839004528916,-27.555571195507127,-88.91690778992688,-86.68575941684821,-88.30438516000822,-88.91736595419752
LV4.219 Bus 13,0.0,-12.418443959666092,-12.418443959666092,-12.418443959665865,-6.185160940038031,-19.969793280600015,-19.969793280600015,-19.969793280600243,-19.969455853049112
LV2.217 Bus 85,0.0,-36.353923766733715,-36.353923766733715,-36.353541644109555,-36.07368844709981,-122.32331252908807,-120.08077540827799,-121.68117350477723,-122.32309710101072
LV6.202 Bus 40,0.0,-50.950149481877816,-50.950149481877816,-50.95053843663936,-50.950149481877816,-140.83089616899088,-140.83089616899088,-140.83089616899088,-140.83089616899088
LV3.202 Bus 98,0.0,-5.796535260585756,-5.796535260585642,-5.79646687139757,-5.759368357625931,-17.54632584398655,-17.54632584398655,-17.54632584398655,-17.54632584398655
LV3.205 Bus 93,0.0,-10.265913991852585,-10.265874728949711,-10.265874728949484,-10.265913991852585,-34.52952879909776,-34.17298514167669,-34.41718411209786,-34.529496262571
LV2.217 Bus 82,0.0,-12.401399385532159,-12.36338850387392,-12.382904058973736,-11.493733097993982,-36.39247914254338,-35.271062485336415,-36.03826491405425,-36.28636523197724
LV3.202 Bus 37,0.0,-8.09452036998232,-8.094362317051718,-8.091762741148159,-6.743020422565678,-23.097981228750655,-23.097981228750655,-23.097981228750655,-23.098118953813355
LV3.204 Bus 25,0.0,-8.959852441015755,-8.959852441015755,-8.959856662728953,-2.7276931868229894,-17.432362687219438,-16.97710776086342,-17.212710425567366,-17.007030062394506
LV6.202 Bus 15,0.0,-26.792179141299584,-26.792179141299584,-26.792586013956225,-26.792179141299584,-83.43019511797775,-83.43019511797775,-83.43019511797775,-83.43019511797775
LV2.203 Bus 28,0.0,-18.036187193756177,-18.036133501236918,-18.03865371740949,-17.82991394578312,-53.91581165562252,-51.628640105833256,-53.436545432872435,-53.75291292562929
LV3.202 Bus 45,0.0,-8.364107763100606,-8.364176876357647,-8.36425199013479,-7.36858874208167,-26.966196089142272,-26.966196089142386,-26.96612697588546,-26.966161211958706
LV4.232 Bus 16,0.0,-26.47754917598968,-26.47754302774092,-26.480910520956968,-19.95958210647541,-78.32644122308375,-78.32644716032792,-78.32644716032792,-78.32573576748973
LV6.202 Bus 7,0.0,-38.30040338120125,-38.30042222056454,-38.30462367721975,-33.541092206325175,-120.96212513713726,-120.96212513713726,-120.96212513713681,-120.96212513713726
LV3.204 Bus 94,0.0,-13.283237197721974,-13.232506487134515,-13.259556581935612,-13.283237197721974,-42.06925965748496,-40.53690899399726,-41.47085576608333,-42.069164323083214
LV3.205 Bus 64,0.0,-8.36721963668515,-8.36721963668515,-8.367219636684922,-4.632633097043026,-20.838919744066516,-20.53268083031662,-20.75496244756664,-20.79793426271067
LV4.202 Bus 21,0.0,-14.305633649238871,-14.305633649239098,-14.305949355842586,-12.76319630600392,-43.81090360225653,-43.81090360225653,-43.81090360225653,-43.8087863545079
LV3.202 Bus 48,0.0,-6.668426820908621,-6.668326600957585,-6.666557511917972,-6.668378270960375,-21.477992286120752,-21.478089332243826,-21.47808933224394,-21.477969143331507
LV3.204 Bus 50,0.0,-30.518453253680036,-30.518453253680036,-30.51845325367958,-25.375562429616366,-84.02607623903396,-81.39457890070344,-83.19645797979183,-84.02547151294948
LV3.204 Bus 71,0.0,-13.129755963257594,-13.129731379656732,-13.129755963256912,-11.622844175433784,-45.028304373844776,-43.78195354254876,-44.634106699344784,-44.97659631088936
LV5.217 Bus 6,0.0,-23.285887828010573,-23.285887828010573,-23.28588782800989,-20.3317112364723,-64.07734889407766,-64.07734889407789,-64.07734889407789,-64.07699833988863
LV3.203 Bus 77,0.0,-14.029813790144544,-14.029813790144772,-14.02981379014409,-12.82288203668304,-41.52404422980362,-40.59059297382373,-41.19908424182381,-41.52237497814326
