level,level1,level4,level7
curtail,w/o,w/o,w/o
bus,,,
LV3.202 Bus 49,0.0,-25.23201377987175,-86.23477246319453
LV4.202 Bus 41,0.0,-10.257723151049504,12.594665357926715
LV3.202 Bus 12,0.0,-9.477685585170093,-26.915421394670034
LV2.203 Bus 32,0.0,-9.896885943315965,-41.668846591944316
LV3.202 Bus 72,0.0,-8.374412194344018,-17.883566708206672
LV4.232 Bus 17,0.0,-23.62430453035222,-59.2955084259429
LV2.203 Bus 93,0.0,-12.972112940420857,-42.48742525431203
LV3.202 Bus 22,0.0,-7.368800297486928,-33.44680429270829
LV3.204 Bus 15,0.0,-12.053755544854539,-22.773742731239054
LV4.219 Bus 34,0.0,-15.661251511060073,-35.23501007948016
LV2.217 Bus 68,0.0,-15.121054272774472,-39.216837907559466
LV3.202 Bus 102,0.0,-16.406464666931242,-55.24516267432773
LV5.217 Bus 29,0.0,-11.018539353040296,-19.88572311977964
LV3.204 Bus 55,0.0,-12.616128081411034,-26.653736566785255
LV5.217 Bus 49,0.0,-4.241522547135389,-19.334245845833294
LV3.205 Bus 68,0.0,-14.807796876503517,-57.98993766355136
LV5.217 Bus 34,0.0,-9.243953536245499,-16.315057554131727
LV4.232 Bus 3,0.0,-12.552648058657269,-42.59610245545264
LV4.232 Bus 20,0.0,-12.37116458315245,-39.04326571062575
LV3.205 Bus 89,0.0,-10.8859413960854,-34.9296348823616
LV5.217 Bus 31,0.0,-22.256849528741895,-59.05797688231246
LV2.217 Bus 101,0.0,-36.70000739756142,-114.74153042084845
LV3.202 Bus 52,0.0,-13.051451612582468,-20.996895435647957
LV3.203 Bus 13,0.0,-4.669001732362972,-3.0609782822319858
LV3.203 Bus 120,0.0,-9.216338722292676,-31.10530043555832
LV5.217 Bus 52,0.0,-14.406832200291547,-37.82202006656121
LV3.203 Bus 53,0.0,-21.374442469344558,-64.25593019723374
LV3.202 Bus 135,0.0,-8.049799896158788,-31.827237348958306
LV5.217 Bus 99,0.0,-11.221336293897139,-20.515774889560134
LV2.203 Bus 4,0.0,-23.899656014795937,-58.223292856881244
LV3.203 Bus 68,0.0,-15.488510612695222,-56.91327686916668
LV3.205 Bus 53,0.0,-4.932545850042402,-21.917381754975636
LV4.232 Bus 25,0.0,-28.63290901495793,-80.83301734214001
LV3.205 Bus 37,0.0,-14.700386096735429,-36.80121960196152
LV3.205 Bus 91,0.0,-2.509374141499407,-12.522360443104972
LV3.205 Bus 130,0.0,-15.48971876517021,-50.86391097087994
LV4.232 Bus 34,0.0,-7.776124669748185,-34.462691864027875
LV6.202 Bus 42,0.0,-14.854132372130607,-49.17777177167159
LV4.202 Bus 36,0.0,-6.803976143458044,-24.140515652473823
LV3.203 Bus 34,0.0,-14.214206290974971,-53.23249325117513
LV3.203 Bus 125,0.0,-5.9914055784418,-26.8381153274305
LV3.202 Bus 119,0.0,-17.831364536371893,-53.55469592775353
LV4.202 Bus 16,0.0,-9.812276376678142,-32.75734293305675
LV2.203 Bus 8,0.0,-18.588431345503068,-59.02267654643265
LV2.217 Bus 61,0.0,-15.73056638955245,-59.02050343913129
LV3.202 Bus 103,0.0,-11.88291448435541,-48.29358738458325
LV3.203 Bus 18,0.0,-8.33156214615883,-35.14722132395838
LV2.217 Bus 14,0.0,-19.727825136653564,-64.93796306084027
LV4.219 Bus 8,0.0,-20.12711115431466,-64.05387032186832
LV4.202 Bus 6,0.0,-4.053461043351433,-17.018938129283583
LV3.204 Bus 85,0.0,-10.485240678626951,-11.661070099833978
LV4.232 Bus 15,0.0,-17.30004127182383,-21.084375940273276
LV2.203 Bus 90,0.0,-5.55437476410583,-24.001899449305483
LV3.203 Bus 104,0.0,-5.401767693424517,-17.252991828676386
LV5.217 Bus 95,0.0,-5.669198641777257,-19.099330391996546
LV3.204 Bus 99,0.0,-11.810382176628764,-35.59802148981339
LV3.203 Bus 135,0.0,-6.000594203324681,-5.859203871083764
LV4.202 Bus 15,0.0,-14.391647746194167,-39.58458302191366
LV6.202 Bus 18,0.0,-10.839632378434544,-30.760051112744804
LV6.202 Bus 40,0.0,-50.950149481877816,-140.83089616899088
LV2.203 Bus 94,0.0,-14.978071204733396,-52.25489150293879
LV3.203 Bus 48,0.0,-5.655363396180519,-25.76862361111108
LV3.203 Bus 83,0.0,-16.347253429811644,-52.013745812676916
LV3.202 Bus 114,0.0,-20.11213009665107,-60.518510596463784
LV5.217 Bus 103,0.0,-6.489686259547284,-15.87568818390514
LV2.203 Bus 92,0.0,-8.483045094270778,-36.96971314166666
LV3.204 Bus 114,0.0,-6.671095110468855,-22.66844992316419
LV4.202 Bus 40,0.0,-4.594982759396714,-19.386749877152795
LV5.217 Bus 44,0.0,-10.002095391022294,-30.10980531215546
LV2.217 Bus 51,0.0,-8.440597794270843,-32.56566891666665
