level,level1,level4,level4,level5,level6,level7,level7,level8,level9
curtail,w/o,w/o,w,w,w,w/o,w,w,w
bus,,,,,,,,,
LV3.204 Bus 44,0.0,-9.547578707960724,-9.12379559764588,-9.344819665460477,-8.582026746909492,-30.128275274646967,-21.059863117718578,-26.007407252147004,-24.194497850132052
LV3.205 Bus 116,0.0,-23.041000757817983,-21.339974391861006,-22.876422329817387,-17.20319002397855,-61.48090994797235,-40.780263896206634,-51.50974527735093,-56.54421149594418
LV2.217 Bus 80,0.0,-9.522545521062511,-9.405595891062603,-9.522545521061602,-9.522545521062511,-31.462618631470832,-19.42148076397052,-23.566595655719993,-23.86378625828047
LV3.205 Bus 50,0.0,-12.153409135502898,-12.111917742212427,-12.153478171619781,-12.153414319612693,-42.32012877839907,-31.954770791126748,-37.44505892276902,-35.06392460733241
LV3.203 Bus 85,0.0,-25.196268127151598,-23.900867108737657,-25.048218597807136,-15.998737414403877,-63.92473031705504,-42.17683071599231,-53.98933346551439,-60.74924951385947
LV2.203 Bus 25,0.0,-7.860549296289719,-7.860579378912462,-7.860549296289037,-7.860549296289719,-25.151560801396613,-19.50523868751486,-21.291731191667623,-17.927929118720726
LV5.217 Bus 4,0.0,-24.61829075021251,-24.03866555021341,-24.618290750212964,-24.61829075021251,-72.54375383096931,-58.53630027471945,-70.43180014096924,-72.54375383096885
LV3.204 Bus 55,0.0,-12.616128081411034,-12.567650337411123,-12.61612808141058,-3.151337467389567,-26.653736566785255,-18.932095097678484,-22.734117635047824,-21.865554029485793
LV3.203 Bus 135,0.0,-6.000873376534628,-6.0008733765347415,-6.000873376534628,-2.1331263781605685,-5.859777830667213,-4.943312960033381,-5.427661988574982,-3.888521357343393
LV4.219 Bus 6,0.0,-5.510772138397442,-5.5107721383976696,-5.510772138397442,-5.510772138397442,-23.850137268318235,-21.915826480818282,-23.717369474068164,-23.367317756833586
LV5.217 Bus 108,0.0,-11.398540358859236,-10.901583127793856,-11.318841893859144,-5.6041239771304845,-27.593119265793575,-22.86636536255901,-27.0495960006117,-27.055940966813296
LV3.205 Bus 119,0.0,-7.353595199380038,-7.3535951993799245,-7.35359519937947,-7.353595199380038,-32.00898506532667,-23.07336208407628,-27.779053161576144,-28.891826071029868
LV4.202 Bus 4,0.0,-21.96783811163641,-21.96784425988517,-21.967838111636866,-15.452363732896856,-62.298905087652884,-52.42295714340935,-60.61673078179001,-62.063287944073636
LV3.204 Bus 2,0.0,-7.289475443049014,-7.289475443049014,-7.2894754430487865,-7.289475443049014,-18.260666695448663,-12.751838370448468,-15.728760845198394,-13.82577465448503
LV3.203 Bus 71,0.0,-10.444372345729676,-10.444372345729676,-10.444426038248707,-10.406593655448432,-29.910016060282032,-24.854423564839067,-27.614943875159497,-24.18502311365478
LV6.202 Bus 39,0.0,-8.058208319543382,-8.058208319543269,-8.058208319543269,-8.058208319543382,-23.731181534460916,-22.583310945369817,-23.689514032739908,-23.69302561584277
LV3.205 Bus 110,0.0,-14.483161149162243,-14.4831454214127,-14.483145421412246,-14.4715675854045,-48.04889610951386,-34.427550397912,-40.91871610895146,-38.906044071304905
LV4.232 Bus 33,0.0,-10.512087612995401,-10.512087612995629,-10.512087612995174,-3.517462006010078,-39.12643935900337,-32.61506909265336,-38.10479114520706,-38.71827587162977
LV3.205 Bus 113,0.0,-16.087088381487547,-15.93762304078382,-16.087118464110063,-16.08708838148732,-51.79527161396118,-35.73014768452913,-43.37460481415246,-44.90390166033876
LV4.219 Bus 26,0.0,-21.776727250552085,-21.630906138052296,-21.77339733305189,-15.67120999332542,-53.59992358755744,-47.59757040998602,-52.90601161813606,-53.59430223557615
LV2.217 Bus 23,0.0,-20.406835141807278,-19.69376838866856,-20.36768320941701,-12.07631318732274,-35.92732918335241,-20.50629165365808,-25.970802389409982,-26.464997157425387
LV5.217 Bus 52,0.0,-14.406832200291547,-14.32831933229204,-14.406832200291547,-8.660783724803423,-37.82202006656098,-30.016007437142434,-36.70748848918106,-37.309967831310814
LV5.217 Bus 100,0.0,-7.069204245225649,-6.775549432725427,-7.065413262225036,-7.0692042452253645,-25.952651326388605,-22.80645123263838,-25.617619172638342,-25.690036668882954
LV5.217 Bus 79,0.0,-18.338261977497496,-18.129318802497437,-18.33826197749704,-18.338261977497496,-53.08546877851495,-42.1823462072648,-51.547464732264416,-52.55998060976435
LV2.217 Bus 20,0.0,-10.778963119569198,-10.715292169569693,-10.774703752568598,-10.778963119569312,-41.6578874839779,-27.83994886522794,-32.49356346022762,-32.53853983584793
LV3.203 Bus 36,0.0,-7.7732971397798,-7.731881662423007,-7.773297139779686,11.637641610071569,-28.204377872373357,-22.79569368905294,-25.89811343187955,-22.797252319822064
LV3.202 Bus 78,0.0,-36.607475895465996,-32.2141701602236,-36.18797051051524,-30.327926750341703,-107.05332619030833,-73.99473079922109,-93.39735031308328,-107.03997033837413
LV3.203 Bus 118,0.0,-4.405173797636735,-4.395469466636769,-4.405173797636621,-4.405173797636735,-18.754418653250013,-15.66684515899999,-17.568445077749914,-15.859618788840862
LV6.202 Bus 59,0.0,-4.987165148156805,-4.987165148156919,-4.987165148156919,-4.9800746755577165,-17.10831247371334,-16.542320808464524,-17.06523544163349,-17.109203763865708
LV4.219 Bus 1,0.0,-5.71921885723782,-5.719218857238047,-5.71921885723782,-5.71921885723782,-20.115093456956856,-18.918873178206923,-20.046955306456994,-19.687456327100108
LV2.203 Bus 42,0.0,-11.71588782656545,-11.715860994563627,-11.71588782656545,-11.512037973453744,-37.639594721152434,-28.861134406566634,-31.832656657042207,-27.285132996490802
LV2.217 Bus 82,0.0,-12.401398484210631,-11.890703566780758,-11.996126369957437,-12.401398484210858,-36.392715095741096,-26.851749178018736,-29.916038219763323,-27.072409805718507
LV5.217 Bus 97,0.0,-15.065600112797256,-14.746476920297027,-15.065600112797028,-15.065600112797256,-43.94476366447634,-34.2349803819759,-42.63621803622573,-43.93263458947558
LV2.217 Bus 1,0.0,-11.94695517443131,-11.83854623393131,-11.917754359430091,-11.94695517443131,-47.25962153159708,-30.833839414096815,-36.80993864284642,-38.62133191583814
LV4.232 Bus 16,0.0,-26.47754927416372,-26.47755542241248,-26.477549274164176,-20.357111428004828,-78.32644746950655,-66.98654176968103,-76.74738151757538,-78.32608168077604
LV6.202 Bus 7,0.0,-38.30040338120125,-38.30040338120125,-38.30040338120125,-38.165770197352685,-120.96212513713726,-115.25874874812143,-120.74998071748314,-120.96079871594793
LV3.205 Bus 64,0.0,-8.36721963668515,-8.36721963668515,-8.367219636684922,-5.223429761161924,-20.838919744066743,-14.487564331242538,-17.688560886337427,-15.775997434762303
LV3.204 Bus 71,0.0,-13.12973137965696,-13.108920288846093,-13.129755963256912,-13.129755963257367,-45.02830437384455,-33.60016584624259,-39.972746800286586,-38.11041946047135
LV3.203 Bus 77,0.0,-14.029813790144772,-13.321971582834067,-14.029813790144544,-12.990163629618792,-41.52404422980385,-29.588403866959652,-36.10567162320967,-35.72900078579664
LV2.217 Bus 41,0.0,-7.419517748687213,-7.419517748686985,-7.419517748686076,-7.419517748687213,-28.73995166517784,-20.646165921427496,-23.423984557677272,-20.56460047249675
LV3.203 Bus 56,0.0,-11.66418700462225,-11.277770204622584,-11.664187004622022,-11.664187004622136,-48.29085050854144,-33.829357212291484,-41.37986752579127,-43.64351595922108
LV5.217 Bus 29,0.0,-11.018539353040069,-10.840373634133584,-11.00179462504002,-5.701514666967341,-19.885723119779414,-16.052884742071,-19.457743425131866,-19.378179694841947
LV5.217 Bus 51,0.0,-16.709453425230777,-15.059555555018278,-16.480388279057706,-16.709077948888762,-53.05711176113982,-43.90874788570045,-52.11786358706195,-53.055530823256504
LV3.204 Bus 120,0.0,-3.7608668048741265,-3.6964640048742865,-3.726089292874093,-3.7608668048741265,-16.370158104513877,-13.410973799513926,-15.29798762051388,-13.83926626480985
LV4.219 Bus 41,0.0,-5.632359732839404,-5.611540781642816,-5.632359732839404,-5.602812382494221,-12.972785201085799,-12.359882184827256,-12.915621939877383,-12.97223142530106
LV3.203 Bus 32,0.0,-11.119428582366254,-10.954396407366744,-11.088032217366276,-11.119428582366368,-41.185870712549104,-30.274995737549034,-36.16083177054895,-37.710914962213565
LV3.205 Bus 73,0.0,-14.800490171171987,-14.76960610117203,-14.800490171171305,-8.416468560944622,-39.30886719288969,-26.192551182531588,-32.98864840559327,-32.157762187388016
LV2.203 Bus 92,0.0,-8.483045094270778,-8.483045094270778,-8.483045094269869,-8.483045094270778,-36.96971314166666,-26.34925067541633,-30.488459091416075,-27.56860780554831
LV3.204 Bus 20,0.0,-14.925643384858404,-14.735790027711232,-14.924850473921538,-14.80426607234881,-58.71739722712323,-40.70148950046939,-50.356812486335116,-52.210707722653865
LV3.204 Bus 4,0.0,-4.54577363280805,-4.45795163280809,-4.54577363280805,-4.54577363280805,-13.823179881851956,-10.28877471560213,-12.13997144060204,-11.467861907968654
LV2.203 Bus 14,0.0,-25.83562134507133,-24.507399773568523,-25.668204859913203,-25.832434208729865,-80.11220240513421,-50.867349546887,-63.74208595280379,-66.38042465519607
LV2.203 Bus 101,0.0,-6.420107264365811,-6.420107264365697,-6.420107264365129,-6.420074575692752,-20.82058576953034,-16.587862214759525,-18.428535032685318,-14.193042076141296
LV2.217 Bus 28,0.0,-16.432973214911044,-15.50952973350718,-16.380953316910336,-14.19784999881449,-52.025296073507434,-30.2791548843079,-38.822336664484965,-39.453319367462655
LV1.202 Bus 13,0.0,-5.655363396180519,-5.655363396180519,-5.655363396180519,-5.655363396180519,-24.18951979111108,-24.18951979111091,-24.18951979111091,-24.18951979111074
LV3.204 Bus 32,0.0,-4.704705287524575,-4.675943582524724,-4.704705287524575,-4.704705287524575,-4.505044221552907,-1.521582875303011,-3.356491296803142,-1.9484438990807575
LV3.205 Bus 85,0.0,-8.746355116767973,-8.721109906278116,-8.74638632438041,1.9558166765343685,-3.8152051483259584,-2.728140295175308,-3.211079765775821,-1.0805758902108664
LV3.202 Bus 65,0.0,-6.362283820703055,-6.362283820703055,-6.3622838207026575,-6.362283820702942,-27.19833372374984,-20.96590061124965,-24.29651765274957,-22.29785859131846
LV5.217 Bus 59,0.0,-24.758433346785978,-22.194396871786694,-24.619564809286203,-24.758433346785978,-77.7999002997517,-63.047642106001376,-75.97162523575139,-77.79990029975102
LV2.217 Bus 66,0.0,-5.536328107871213,-5.536328107871441,-5.536328107870986,-5.536328107871213,-16.159055158008414,-13.053840449258473,-14.12937669950827,-10.581485768246239
LV5.217 Bus 106,0.0,-4.800673948559734,-4.800693877069762,-4.800688791158791,-4.800688791158905,-12.034286767466938,-11.462368194188343,-11.974508539415297,-11.424557944676053
LV2.203 Bus 4,0.0,-23.899656014795937,-22.959755608907017,-23.765727464795418,-6.211217948735339,-58.223292856881244,-34.903419242766404,-44.46333234586882,-44.53010320574981
